
N

New run with 25 obstacles
Elapsed_time,Average_computation_time,Collision,Goal_reached,Obstacle Avoidance
2.67,0.00098,True,False,False
14.153,0.00522,False,True,False
25.486,0.00939,False,True,False
15.704,0.00579,False,True,False
16.157,0.00596,False,True,False
1.099,0.0004,True,False,False
18.58,0.00685,False,True,False
7.197,0.00265,True,False,False
21.586,0.00796,False,True,False
0.0,0,True,False,False
21.813,0.00804,False,True,False
0.001,0,True,False,False
22.253,0.0082,False,True,False
1.512,0.00056,True,False,False
16.015,0.0059,False,True,False
3.581,0.00132,True,False,False
4.371,0.00161,True,False,False
2.54,0.00094,True,False,False
0.001,0,True,False,False
3.921,0.00144,True,False,False

New run with 75 obstacles and True Obstacle Avoidance
Elapsed_time,Average_computation_time,Collision,Goal_reached,Obstacle Avoidance
36.225,0.01334,False,True,True
68.013,0.02504,False,True,True
31.609,0.01164,False,True,True
44.612,0.01643,False,True,True
0.001,0,True,False,True
102.685,0.03781,True,False,True
49.224,0.01813,False,True,True
11.158,0.00411,True,False,True
44.015,0.01621,False,True,True
55.447,0.02042,False,True,True
43.205,0.01591,False,True,True
0.001,0,True,False,True
46.406,0.01709,True,False,True
1.851,0.00068,True,False,True
29.969,0.01104,False,True,True
102.552,0.03775,False,True,True
38.563,0.0142,False,True,True
301.677,0.11104,False,False,True
39.878,0.01469,False,True,True
38.328,0.01411,False,True,True
302.82,0.11145,False,False,True
62.439,0.02299,False,True,True
40.95,0.01508,True,False,True
77.219,0.02844,False,True,True
33.666,0.0124,False,True,True
329.836,0.1214,False,False,True
148.385,0.05462,True,False,True
52.549,0.01935,False,True,True
161.135,0.05932,False,True,True
0.001,0,True,False,True
34.939,0.01287,False,True,True
43.876,0.01616,False,True,True
331.672,0.12208,False,False,True
48.787,0.01797,False,True,True
63.363,0.02333,False,True,True
155.027,0.05707,True,False,True
138.545,0.05101,True,False,True
52.837,0.01946,False,True,True
43.67,0.01608,False,True,True
59.151,0.02178,False,True,True
32.661,0.01203,False,True,True
309.272,0.11383,False,False,True
47.302,0.01742,False,True,True
36.267,0.01336,False,True,True
304.787,0.11218,False,False,True
48.939,0.01802,False,True,True
69.34,0.02554,True,False,True
48.587,0.01789,False,True,True
29.32,0.0108,False,True,True
0.001,0,True,False,True

New run with 75 obstacles and False Obstacle Avoidance
Elapsed_time,Average_computation_time,Collision,Goal_reached,Obstacle Avoidance
13.464,0.00496,False,True,False
12.012,0.00442,True,False,False
5.92,0.00218,True,False,False
1.704,0.00063,True,False,False
0.001,0,True,False,False
9.562,0.00352,True,False,False
2.086,0.00077,True,False,False
3.567,0.00131,True,False,False
0.001,0,True,False,False
3.84,0.00141,True,False,False
1.968,0.00072,True,False,False
4.18,0.00154,True,False,False
1.692,0.00062,True,False,False
4.585,0.00169,True,False,False
3.142,0.00116,True,False,False
3.534,0.0013,True,False,False
1.98,0.00073,True,False,False
0.001,0,True,False,False
2.737,0.00101,True,False,False
2.941,0.00108,True,False,False
0.001,0,True,False,False
4.018,0.00148,True,False,False
1.278,0.00047,True,False,False
0.001,0,True,False,False
2.824,0.00104,True,False,False
